symbol
ABCB6
ADSL
ATF1
ATP1B1
BMP4
C1R
CACNG4
COL6A2
COX7A2
CSDA
CYB561
CYR61
DAAM1
DCTD
DDR1
DSE
DUSP8
EMP1
EPB41L4B
EPS8
ERAP1
EZH2
FAM216A
FSTL1
GIPC1
GPRC5A
HHEX
HMGA2
KDELR3
KLF5
LGALS3
LRRC1
MAPRE3
MCF2L-AS1
MGAT4B
MRC2
NECAP2
NMI
NOC3L
NQO1
NSMAF
ODC1
PCLO
PDGFC
PERP
PHLDA1
PPAP2C
PPAT
PPIC
PRKCQ
PTRF
RAB3A
S100PBP
SLC38A2
SOWAHC
SUCO
TPD52L1
TUFT1
UPF3B
WFS1
WIPF1
WWC2
YAP1
YARS
ZMYM6NB
